diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.141,-0.02861535615697658,5406,0.169,0.02861535615697658
Cardiomegaly,8836,0.233,-0.00892993633964928,6121,0.242,0.00892993633964928
Lung Opacity,10549,0.211,-0.03845556386745547,7431,0.249,0.03845556386745547
Lung Lesion,1935,0.47,-0.022603386740473685,1406,0.493,0.022603386740473685
Edema,6357,0.251,-0.009762522010839658,4540,0.26,0.009762522010839658
Consolidation,6001,0.21,0.016343121510547065,4156,0.193,-0.016343121510547065
Pneumonia,3664,0.463,0.003911791433556078,2518,0.459,-0.003911791433556078
Atelectasis,9050,0.239,-0.02447539979228755,6123,0.264,0.02447539979228755
Pneumothorax,1823,0.495,0.041750135621266615,1267,0.453,-0.041750135621266615
Pleural Effusion,8393,0.169,0.004964359960779763,5881,0.164,-0.004964359960779763
Pleural Other,1518,0.437,-0.015184575674312195,1076,0.453,0.015184575674312195
Fracture,3400,0.341,0.022736178143068775,2462,0.318,-0.022736178143068775
Support Devices,10920,0.108,-0.0007761112692543648,7219,0.109,0.0007761112692543648
No Finding,5335,0.251,0.04741035975715149,4701,0.204,-0.04741035975715149
