,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
9,Pleural Effusion,Effusion,0.03554422915290186,0.1736724113773294,0.0014174204561252,0.0011808390788109696,0.264186633039092,0.008098179511051561,0.0026899301654359793,0.05555555555555549,-0.02042700589038086,0.006350694283662083,0.1240016813787305,0.0044183571378107,0.007170846304397348,0.004133389379291,-0.027446049641850302,0.010993026216519557
2,Lung Opacity,Air. Opacity,0.040520110868845716,0.20545050055617348,-0.00306237846115402,0.006002261783861879,0.3007230255839822,0.019446503075533278,0.00807156790855386,0.075250278086763,-0.02107360779331244,0.01018933160112485,0.1409899888765294,0.01799329153625098,0.010039093850850497,0.0048387096774193,-0.01607322550108828,0.015461668826571032
1,Cardiomegaly,Cardiomegaly,0.04817276179818304,0.1910142408236946,-0.008332627304347421,0.009360706924416977,0.2914354482850839,0.01518758518253292,0.009537543851236707,0.0627131109179648,-0.0248015850805944,0.010061399534067093,0.1533730026074747,0.023371176717588642,0.010179018153058631,0.0045463662499164,-0.0014352236106332798,0.005547097657506235
4,Edema,Edema,0.06263015551048,0.1987703037533266,-0.00711531149856062,0.011471322932486615,0.3099935762136367,0.021627621837396742,0.0048424507877334625,0.071212260255116,-0.02474841351567608,0.011603006336470203,0.1596769753143067,0.03690640340576002,0.005430727232833067,0.0046801872074883,-0.02572375210471998,0.028004865927359214
0,Enlarged Cardiomediastinum,Enlarged Card.,0.06301655306718587,0.2605633802816901,0.0,0.0,0.3885355141602302,0.02491984065719924,0.0015385158137188471,0.0904134484325306,-0.0160738303549131,0.006585312405336366,0.1968802059669847,0.03569449846869196,0.003055260746343428,0.0059821293351506,-0.027322054598493916,0.023617383270781243
5,Consolidation,Consolidation,0.06888737072722552,0.2499753864330018,0.0032539115985971297,0.006352295188054474,0.3799350201831249,0.014387692866837401,0.00396395707206725,0.0924485576449739,-0.00942271009971426,0.012032317648045278,0.1727872403268681,2.505666434640015e-05,0.004113751282554822,0.0054149847395884,-0.05449967786038812,0.04349820111524861
12,Support Devices,Sup. Devices,0.08842394706011368,0.20012128562765313,0.0008993030237339598,0.0010813962124848683,0.2543139092562986,0.00419615423891872,0.0052712238961727335,0.0787253983130271,-0.00685424467633772,0.0049635891858390395,0.09631181432273,-0.03614182691014714,0.015406076561661016,0.0058988918904018,0.05228212014996654,0.013550353082725786
7,Atelectasis,Atelectasis,0.08852678571428561,0.1976537270150926,0.0,0.0,0.2952613194490213,0.019609527580622083,0.004880439458314341,0.0672905819547881,-0.02528776324070146,0.005717806004555718,0.1368219864232518,0.01220853322334158,0.008887991763721669,0.0046134581163909,-0.06891725813366353,0.012085610674637868
10,Pleural Other,Pleural Other,0.136084656084656,0.2733230531996916,0.05258702249803674,0.006744482785305497,0.3643022359290671,0.06712960053849915,0.015330167385223116,0.0990747879722436,-0.01064117746574182,0.020856707832853965,0.1773323053199691,-0.029534765691084403,0.031483410271071995,0.0057825751734772,-0.06895505554615686,0.012161684980933412
11,Fracture,Fracture,0.1507565916511602,0.2516206073012623,0.00638659932624228,0.007874486794716626,0.3737632207437734,0.0218941688131262,0.013030704913519429,0.1044012282497441,-0.012170617910935022,0.030475791678133416,0.1920846127601501,-0.0166749655351238,0.029703938131625883,0.006653019447287601,-0.128862422838034,0.09317783011647185
6,Pneumonia,Pneumonia,0.18058485139022046,0.2167583306373341,0.02501889693165074,0.0033130243283582815,0.301520543513426,0.0,0.0,0.0964089291491426,0.053300976466860564,0.01477188744413917,0.1297314784859269,-0.061555339120011085,0.022270909762981565,0.0045292785506308,-0.12728387492335988,0.07639491506724319
3,Lung Lesion,Lung Lesion,0.19197324414715708,0.23346303501945523,0.00024852232809572,0.007696506268288147,0.3304399880275366,0.006622546854294161,0.00584513582724676,0.1284046692607003,0.058197240276813646,0.02409949537040862,0.1110445974259203,-0.021130978674046702,0.01086378767397696,0.0068841664172403,-0.13377600387034344,0.06911458575231308
8,Pneumothorax,Pneumothorax,0.2405859017393957,0.2032362459546925,0.001530259212604,0.001980499692959642,0.288673139158576,-0.0213796833768678,0.023817927350615484,0.11618122977346271,-0.0070711282224154405,0.02975528903608596,0.0731391585760517,-0.1164112322478548,0.05091800217474543,0.0093851132686084,0.12417466949154092,0.04072888038285044
