,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.020071572896212198,0.4093593820990459,-0.020071572896212198
1,Cardiomegaly,0.5907601791803169,0.02844867453095634,0.4092398208196831,-0.02844867453095634
2,Lung Opacity,0.5867074527252503,0.02149413431898428,0.41329254727474973,-0.02149413431898428
3,Lung Lesion,0.579167913798264,0.018371615189240575,0.420832086201736,-0.018371615189240575
4,Edema,0.5833715701569239,0.01381521913129169,0.4166284298430761,-0.01381521913129169
5,Consolidation,0.5908240622230974,-0.03353972605464062,0.40917593777690264,0.03353972605464062
6,Pneumonia,0.5926884503396959,-0.03541358116755855,0.4073115496603041,0.03541358116755855
7,Atelectasis,0.5964542279048309,0.022952476081940842,0.40354577209516906,-0.022952476081940842
8,Pneumothorax,0.5899676375404531,-0.01008468049015021,0.41003236245954694,0.01008468049015021
9,Pleural Effusion,0.587992153565924,-0.00993619572654214,0.41200784643407595,0.00993619572654214
10,Pleural Other,0.5851966075558982,0.017384937136028178,0.41480339244410175,-0.017384937136028178
11,Fracture,0.5800068236096895,-0.028758063745400686,0.4199931763903105,0.028758063745400686
12,Support Devices,0.602017751805502,0.014580736020686103,0.39798224819449807,-0.014580736020686103
13,No Finding,0.5315862893583101,-0.03327509929790207,0.4684137106416899,0.03327509929790207
