,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.016688864224935207,0.4093593820990459,-0.016688864224935207
1,Cardiomegaly,0.5907601791803169,0.01859243967050772,0.4092398208196831,-0.01859243967050772
2,Lung Opacity,0.5867074527252503,0.026075519004627457,0.41329254727474973,-0.026075519004627457
3,Lung Lesion,0.579167913798264,0.014073682005138588,0.420832086201736,-0.014073682005138588
4,Edema,0.5833715701569239,0.010516451738310617,0.4166284298430761,-0.010516451738310617
5,Consolidation,0.5908240622230974,-0.03441181362297818,0.40917593777690264,0.03441181362297818
6,Pneumonia,0.5926884503396959,-0.03477494788613689,0.4073115496603041,0.03477494788613689
7,Atelectasis,0.5964542279048309,0.02734069440196052,0.40354577209516906,-0.02734069440196052
8,Pneumothorax,0.5899676375404531,-0.013857397864089571,0.41003236245954694,0.013857397864089571
9,Pleural Effusion,0.587992153565924,-0.0039160049346795844,0.41200784643407595,0.0039160049346795844
10,Pleural Other,0.5851966075558982,0.008725529090811146,0.41480339244410175,-0.008725529090811146
11,Fracture,0.5800068236096895,-0.01920772208152155,0.4199931763903105,0.01920772208152155
12,Support Devices,0.602017751805502,0.01002931823682629,0.39798224819449807,-0.01002931823682629
13,No Finding,0.5315862893583101,-0.04314920732133998,0.4684137106416899,0.04314920732133998
